Date,BTC-USD,ETH-USD,GC=F,^GSPC,^IXIC
2020-03-29,5922.04296875,125.58373260498047,1623.9000244140625,2541.469970703125,7502.3798828125
2020-03-30,6429.841796875,132.904541015625,1622.0,2626.64990234375,7774.14990234375
2020-03-31,6438.64453125,133.59356689453125,1583.4000244140625,2584.590087890625,7700.10009765625
2020-04-01,6606.7763671875,135.63455200195312,1578.199951171875,2470.5,7360.580078125
2020-04-02,6793.62451171875,142.02914428710938,1625.699951171875,2526.89990234375,7487.31005859375
2020-04-03,6733.38720703125,142.09130859375,1633.699951171875,2488.64990234375,7373.080078125
2020-04-04,6867.52734375,145.21939086914062,1633.699951171875,2488.64990234375,7373.080078125
2020-04-05,6791.12939453125,143.54664611816406,1633.699951171875,2488.64990234375,7373.080078125
2020-04-06,7271.78125,169.13587951660156,1677.0,2663.679931640625,7913.240234375
2020-04-07,7176.41455078125,165.10194396972656,1664.800048828125,2659.409912109375,7887.259765625
2020-04-08,7334.0986328125,172.64173889160156,1665.4000244140625,2749.97998046875,8090.89990234375
2020-04-09,7302.08935546875,170.80714416503906,1736.199951171875,2789.820068359375,8153.580078125
2020-04-10,6865.4931640625,158.41244506835938,1736.199951171875,2789.820068359375,8153.580078125
2020-04-11,6859.0830078125,158.2160186767578,1736.199951171875,2789.820068359375,8153.580078125
2020-04-12,6971.091796875,161.14242553710938,1736.199951171875,2789.820068359375,8153.580078125
2020-04-13,6845.03759765625,156.27955627441406,1744.800048828125,2761.6298828125,8192.419921875
2020-04-14,6842.427734375,157.5963897705078,1756.699951171875,2846.06005859375,8515.740234375
2020-04-15,6642.10986328125,153.28689575195312,1727.199951171875,2783.360107421875,8393.1796875
2020-04-16,7116.80419921875,172.15737915039062,1720.4000244140625,2799.550048828125,8532.3603515625
2020-04-17,7096.1845703125,171.63858032226562,1689.199951171875,2874.56005859375,8650.1396484375
2020-04-18,7257.6650390625,186.91400146484375,1689.199951171875,2874.56005859375,8650.1396484375
2020-04-19,7189.4248046875,181.61495971679688,1689.199951171875,2874.56005859375,8650.1396484375
2020-04-20,6881.95849609375,172.2971649169922,1701.5999755859375,2823.159912109375,8560.73046875
2020-04-21,6880.3232421875,172.73770141601562,1678.199951171875,2736.56005859375,8263.23046875
2020-04-22,7117.20751953125,182.59957885742188,1728.699951171875,2799.31005859375,8495.3798828125
2020-04-23,7429.724609375,185.02867126464844,1733.300048828125,2797.800048828125,8494.75
2020-04-24,7550.90087890625,189.2369384765625,1723.5,2836.739990234375,8634.51953125
2020-04-25,7569.93603515625,195.5153045654297,1723.5,2836.739990234375,8634.51953125
2020-04-26,7679.8671875,197.31753540039062,1723.5,2836.739990234375,8634.51953125
2020-04-27,7795.60107421875,197.22471618652344,1711.9000244140625,2878.47998046875,8730.16015625
2020-04-28,7807.05859375,198.41539001464844,1710.5,2863.389892578125,8607.73046875
2020-04-29,8801.0380859375,216.96823120117188,1703.4000244140625,2939.510009765625,8914.7099609375
2020-04-30,8658.5537109375,207.60205078125,1684.199951171875,2912.429931640625,8889.5498046875
2020-05-01,8864.7666015625,214.21910095214844,1694.5,2830.7099609375,8604.9501953125
2020-05-02,8988.5966796875,215.32537841796875,1694.5,2830.7099609375,8604.9501953125
2020-05-03,8897.46875,210.9331512451172,1694.5,2830.7099609375,8604.9501953125
2020-05-04,8912.654296875,208.17401123046875,1706.9000244140625,2842.739990234375,8710.7099609375
2020-05-05,9003.0703125,206.77439880371094,1704.4000244140625,2868.43994140625,8809.1201171875
2020-05-06,9268.76171875,204.0557861328125,1684.199951171875,2848.419921875,8854.3896484375
2020-05-07,9951.5185546875,212.28941345214844,1721.800048828125,2881.18994140625,8979.66015625
2020-05-08,9842.666015625,212.9915771484375,1709.9000244140625,2929.800048828125,9121.3203125
2020-05-09,9593.896484375,211.60012817382812,1709.9000244140625,2929.800048828125,9121.3203125
2020-05-10,8756.4306640625,188.5995635986328,1709.9000244140625,2929.800048828125,9121.3203125
2020-05-11,8601.7958984375,185.912841796875,1695.300048828125,2930.18994140625,9192.33984375
2020-05-12,8804.4775390625,189.3125,1704.4000244140625,2870.1201171875,9002.5498046875
2020-05-13,9269.9873046875,199.1932830810547,1713.9000244140625,2820.0,8863.169921875
2020-05-14,9733.7216796875,202.9490966796875,1738.0999755859375,2852.5,8943.7197265625
2020-05-15,9328.197265625,195.62266540527344,1753.4000244140625,2863.699951171875,9014.5595703125
2020-05-16,9377.013671875,200.6771240234375,1753.4000244140625,2863.699951171875,9014.5595703125
2020-05-17,9670.7392578125,207.15869140625,1753.4000244140625,2863.699951171875,9014.5595703125
2020-05-18,9726.5751953125,214.52505493164062,1731.800048828125,2953.909912109375,9234.830078125
2020-05-19,9729.0380859375,213.45111083984375,1744.199951171875,2922.93994140625,9185.099609375
2020-05-20,9522.9814453125,210.09674072265625,1750.5999755859375,2971.610107421875,9375.7802734375
2020-05-21,9081.76171875,199.88360595703125,1720.5,2948.510009765625,9284.8798828125
2020-05-22,9182.5771484375,207.169189453125,1734.5999755859375,2955.449951171875,9324.58984375
2020-05-23,9209.287109375,208.69439697265625,1734.5999755859375,2955.449951171875,9324.58984375
2020-05-24,8790.3681640625,202.37034606933594,1734.5999755859375,2955.449951171875,9324.58984375
2020-05-25,8906.9345703125,205.3197479248047,1734.5999755859375,2955.449951171875,9324.58984375
2020-05-26,8835.052734375,201.90231323242188,1704.800048828125,2991.77001953125,9340.2197265625
2020-05-27,9181.017578125,208.86343383789062,1710.300048828125,3036.1298828125,9412.3603515625
2020-05-28,9525.7509765625,219.84042358398438,1713.300048828125,3029.72998046875,9368.990234375
2020-05-29,9439.1240234375,220.6751251220703,1736.9000244140625,3044.31005859375,9489.8701171875
2020-05-30,9700.4140625,242.34559631347656,1736.9000244140625,3044.31005859375,9489.8701171875
2020-05-31,9461.05859375,230.9757080078125,1736.9000244140625,3044.31005859375,9489.8701171875
