Date,btc,eth,gold,s&p 500,nasdaq
2019-10-02,0.005964758065035269,0.019003488329472074,0.012820512820512775,-0.017903202985502964,-0.015606924674894551
2019-10-03,-0.015852393543526522,-0.03049722689538259,0.004063941096560608,0.00797191259701524,0.011176232699656508
2019-10-04,-0.006543920762636879,0.010192160436667708,-0.0005971895883765121,0.014216897585460186,0.013999849153859767
2019-10-05,-0.006634092921928403,-0.0035793083285821092,0.0,0.0,0.0
2019-10-06,-0.02003860844973604,-0.01866938100898885,0.0,0.0,0.0
2019-10-07,0.03223112979219778,0.046961964110191046,-0.005643341040734162,-0.004478294673592398,-0.003279708545929405
2019-10-08,-0.0020422766908295698,0.004609731260002858,-0.0003338452402357195,-0.015560819201407838,-0.016654779206850545
2019-10-09,0.0445943248463081,0.06192507061593355,0.005944446102269962,0.0091044925499415,0.010220181474235313
2019-10-10,-0.0010780457889411066,-0.00845135888084203,-0.007502773349037706,0.006415695380997066,0.005951555768073602
2019-10-11,-0.030829512579344187,-0.047427720059411094,-0.00809479345798525,0.010938977513132997,0.013364758775564756
2019-10-12,0.0017783297946283305,-0.009547269439318717,0.0,0.0,0.0
2019-10-13,-0.0018652553061611066,0.006904428489395986,0.0,0.0,0.0
2019-10-14,0.006451222961466829,0.02683374122573201,0.006070007618794726,-0.0013871187334510982,-0.0010413423140598344
2019-10-15,-0.020217757684260373,-0.02971123844843615,-0.009452286684638267,0.009955676641137279,0.012431905947929645
2019-10-16,-0.019236463643636514,-0.029726474745445763,0.007038457353749195,-0.0019995427986508885,-0.0030102660757148625
2019-10-17,0.007006410585064904,0.01144711488405803,0.0028898177608367437,0.0027628315736780706,0.0040213192184475055
2019-10-18,-0.016128460830725944,-0.024754556894477253,-0.0027475021926520737,-0.003919344949506964,-0.00825196709365672
2019-10-19,0.0019255772919670733,-0.004079642496059188,0.0,0.0,0.0
2019-10-20,0.029231496307097427,0.01515995195211306,0.0,0.0,0.0
2019-10-21,0.002632251578733369,-0.003494404163625231,-0.0038972765408609167,0.006871616056117524,0.00907965038281855
2019-10-22,-0.020078018662405217,-0.014978948189324437,-0.00047225663158245723,-0.003568666378412577,-0.007189819906968653
2019-10-23,-0.06975948008239763,-0.057446442404025744,0.005534233321464299,0.0028471487971184484,0.0019113599876994236
2019-10-24,-0.002818899590176671,-0.0014423254446559453,0.006040673771744887,0.0019204463587332299,0.008129491687277834
2019-10-25,0.15576341830619223,0.11934903656214368,0.000400277254096304,0.004072700506109195,0.007002408300674112
2019-10-26,0.0674624969992299,-0.009297592823990453,0.0,0.0,0.0
2019-10-27,0.03317935043243514,0.024504276284696536,0.0,0.0,0.0
2019-10-28,-0.030943805493041765,-0.008572447483944812,-0.006335445148382801,0.005581337868471481,0.010053246344756017
2019-10-29,0.018532445072405368,0.04204338989507139,-0.00201342281879191,-0.0008324053147991117,-0.005902075743148938
2019-10-30,-0.02354351875791383,-0.029685454668325395,0.004169435892316775,0.00325337015914573,0.0032779210273761183
2019-10-31,-0.000667150118005666,-0.003926805599411609,0.012188637715869088,-0.0030228605633046968,-0.0013993430296747045
2019-11-01,0.006687207250242189,1.617390715802358e-05,-0.002249586052098018,0.009662312168146059,0.011340563491645694
2019-11-02,0.006868865512063227,-0.00024011643034216323,0.0,0.0,0.0
2019-11-03,-0.009583483749455834,-0.008159282467638973,0.0,0.0,0.0
2019-11-04,0.01919339562438549,0.02154406132255149,0.0,0.003704089049704651,0.005580440058623459
2019-11-05,-0.007445856545328811,0.01582448304565287,-0.018037102899121304,-0.001185699214361291,0.00017543662586394504
2019-11-06,0.001964408386214478,0.012095205653801067,0.006347853885599886,0.0007024972279667807,-0.0028513002957469835
2019-11-07,-0.009968973060571096,-0.01888001348168522,-0.01744732307872776,0.0027300951851503275,0.0028404113330822156
2019-11-08,-0.049924746967407674,-0.020029496971036398,-0.0019805371127277205,0.0025606760900243053,0.004836083301647864
2019-11-09,0.0009882214210468199,0.004436452716479078,0.0,0.0,0.0
2019-11-10,0.02745130584586919,0.02404255238436437,0.0,0.0,0.0
2019-11-11,-0.032879179981060824,-0.02104548042884047,-0.0039691019190591925,-0.0019624672514313435,-0.0013013444268317187
2019-11-12,0.006608292284490114,0.0072983862044946335,-0.00233598379530231,0.0015646460846321375,0.0025766597522700607
2019-11-13,-0.0008393486468396549,0.0075749471007278135,0.006611098235205004,0.0007115345908383919,-0.0004702088297990903
2019-11-14,-0.011372046022572246,-0.012000024315665936,0.006909829646058796,0.0008370427393644686,-0.00036312685146910884
2019-11-15,-0.024816282533459022,-0.029454114926144026,-0.003057480534521595,0.007695488006902673,0.0072898224431721115
2019-11-16,0.006920467352055093,0.01566120367493351,0.0,0.0,0.0
2019-11-17,0.0031827394743637605,0.009658521304822587,0.0,0.0,0.0
2019-11-18,-0.031323177646423006,-0.024630781437547267,0.0024534692742719244,0.0005031528617669423,0.0010666822169702606
2019-11-19,-0.012412693864603863,-0.017191274617062935,0.0016316706602941267,-0.0005925944462060739,0.0024233767162349373
2019-11-20,-0.021797985575073398,-0.0099022100862729,0.0,-0.003756184245747196,-0.005125589709442102
2019-11-21,-0.04790148568918984,-0.08102310751242314,-0.0069232830408855195,-0.0015827522106851566,-0.0024066091789468613
2019-11-22,-0.045294215208040334,-0.06933209949590902,0.0,0.0021749356911917594,0.0016070520170294866
2019-11-23,0.013872152579023078,0.020959943541692505,0.0,0.0,0.0
2019-11-24,-0.047295145936607,-0.06898212004549653,0.0,0.0,0.0
